Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
19/10/2020,62646.7690541893,119445.230945811,182092,1656,0,0,39.7142857142857,0.675929538925544,0.560071452873369,16214.7142857143,0.297937310658636,-5.20408163265303,0.21761838,0.728848052600304
20/10/2020,67011.7201224181,127064.279877582,194076,1761,0,0,41,0.667146718352044,0.560020003822067,17180.4285714286,0.306601277211304,-8.81632653061221,0.20890849,1.11023813333001
21/10/2020,73077.8190360448,135967.180963955,209045,1887,0,0,38,0.658363897778544,0.559968554770764,17853.8571428571,0.309320754716981,-12.4285714285714,0.21034774,1.24907778173985
22/10/2020,78662.6123431314,144532.387656869,223195,2008,0,0,36.2857142857143,0.649581077205044,0.559917105719461,18792.6428571429,0.312680313229839,-8.44897959183671,0.20013695,1.31539411793205
23/10/2020,84373.4575569806,154081.542443019,238455,2128,0,0,38,0.641773509413693,0.563579815287872,19751.1428571429,0.315808325018548,-4.46938775510203,0.20269253,1.47319441466207
24/10/2020,88887.7535721609,162039.246427839,250927,2268,0,0,38,0.633965941622343,0.567242524856282,20139.5,0.321185241173262,-0.489795918367343,0.2081842,0.918941599748612
25/10/2020,91294.8167011637,166932.183298836,258227,2416,0,0,38,0.626158373830992,0.570905234424693,20226.6428571429,0.319947993651739,3.48979591836734,0.20503085,0.56271764441603
26/10/2020,94810.507593528,173689.492406472,268500,2576,0,0,38,0.618350806039641,0.574567943993104,21704.5714285714,0.320503799865172,7.46938775510203,0.19589349,0.738237179649089
27/10/2020,100467.619006571,183695.380993429,284163,2764,0,0,38,0.610543238248291,0.578230653561514,23151.7142857143,0.312624310910057,11.4489795918367,0.18567675,1.10005600118824
28/10/2020,105061.45451571,192081.54548429,297143,2930,0,0,38,0.60273567045694,0.581893363129925,24205.2857142857,0.312122827672509,15.4285714285714,0.17214853,1.3023040009142
29/10/2020,109828.922890461,200369.077109539,310198,3122,0,0,38,0.594928102665589,0.585556072698336,25144.0714285714,0.310380568847148,13.0244897959183,0.17009198,1.27196673229952
30/10/2020,114463.913559524,209339.086440476,323803,3334,0,0,38,0.592372020591838,0.585548211704451,26102.5714285714,0.309689282497748,10.6204081632653,0.16783099,1.42814294456714
31/10/2020,118106.390712712,217125.609287288,335232,3521,0,0,38,0.589815938518087,0.585540350710567,26490.9285714286,0.300982791616155,8.21632653061223,0.16289126,0.924994078587239
01/11/2020,120063.184984596,221710.815015404,341774,3734,0,0,38,0.587259856444336,0.585532489716682,26578.0714285714,0.305194465611786,5.81224489795917,0.15631278,0.548958803636084
02/11/2020,122918.925547977,228107.074452023,351026,3951,0,0,38,0.584703774370585,0.585524628722798,28056,0.305082030129258,3.40816326530612,0.18085141,0.794404646111834
03/11/2020,126649.612020125,236465.387979875,363115,4207,0,0,38,0.582147692296834,0.585516767728913,28550.5714285714,0.30484162930488,1.00408163265306,0.17759497,1.19956644649262
04/11/2020,131787.859049264,247058.140950736,378846,4424,0,0,38,0.579591610223082,0.585508906735029,26144.7142857143,0.302676522866357,-1.4,0.16703664,1.24157935220249
05/11/2020,136154.109114612,255920.890885388,392075,4614,0,0,38,0.577035528149331,0.585501045741144,25831.4285714286,0.279483987260076,-1.4,0.16483251,1.18032620307162
06/11/2020,139836.862208307,263790.137791693,403627,4819,0,0,38,0.569367281928078,0.585501045741144,25352.8571428571,0.263576464413101,-1.4,0.14208153,1.35858228022185
07/11/2020,142179.686106102,269170.313893898,411350,5011,0,0,38,0.561699035706824,0.585501045741144,24557.1428571429,0.255466786835412,-1.4,0.15099497,0.960133637078502
