Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
29/08/2020,8621.55816845338,15361.4418315466,421,23.4984126984127,1.05735663403793,0.589756078135107,0.758642375695942,3944,301.265306122449
30/08/2020,8723.26405080632,15532.7359491937,423,24.534126984127,1.05735663403793,0.589756078135107,0.77269665952864,9353,312.142857142857
31/08/2020,8816.77385472788,15690.2261452721,424,25.5545351473923,1.05735663403793,0.589756078135107,1.03090037259212,11108,321.489795918368
01/09/2020,9002.6758155122,16003.3241844878,425,26.8164399092971,1.05735663403793,0.589756078135107,1.15453762067842,11792,331.775510204082
02/09/2020,9247.06797237494,16414.9320276251,425,26.3592970521542,1.05735663403793,0.589756078135107,1.13434032539263,11533,345.428571428571
03/09/2020,9500.02875668867,16840.9712433113,426,27.2521541950113,1.05735663403793,0.589756078135107,1.20179482370796,13592,369.081632653062
04/09/2020,9795.08758021808,17337.9124197819,429,25.0235827664399,1.05735663403793,0.589756078135107,0.858054733726927,7465,394.408163265306
05/09/2020,9984.34248217887,17656.6575178211,431,22.8251700680272,1.05735663403793,0.589756078135107,0.758642375695942,4517,422.040816326531
06/09/2020,9984.34248217887,17656.6575178211,436,19.7894557823129,1.05735663403793,0.589756078135107,0.77269665952864,11322,449.489795918367
07/09/2020,9984.34248217887,17656.6575178211,437,17.3404761904762,1.05735663403793,0.589756078135107,1.03090037259212,15976,483.387755102041
08/09/2020,9984.34248217887,17656.6575178211,441,15.5071428571429,1.05735663403793,0.589756078135107,1.15453762067842,15310,528.102040816327
09/09/2020,9984.34248217887,17656.6575178211,444,14.3928571428571,1.05735663403793,0.589756078135107,1.13434032539263,15612,577.918367346939
10/09/2020,9984.34248217887,17656.6575178211,448,13.5,1.05735663403793,0.589756078135107,1.20179482370796,18204,632.571428571429
11/09/2020,9984.34248217887,17656.6575178211,450,12.7857142857143,1.05735663403793,0.589756078135107,0.858054733726927,18204,696.836734693877
12/09/2020,9984.34248217887,17656.6575178211,453,12,1.05735663403793,0.589756078135107,0.758642375695942,18204,778.285714285714
